,姓名,性别,身高,生日,星座,国家,项目,战绩,胜率,Link
0,李宗伟,男,172 CM,1982-10-21,天秤座,马来西亚,男单,325/93,0.777511961722488,http://www.aiyuke.com/sport_player/10001-Lee_Chongwei.html
1,林丹,男,178 CM,1983-10-14,天秤座,中国,男单,338/56,0.8578680203045685,http://www.aiyuke.com/sport_player/10002-LIN_Dan.html
2,张楠,男,185 CM,1990-03-01,双鱼座,中国,"男双,混双",268/81,0.7679083094555874,http://www.aiyuke.com/sport_player/10035-Zhang_Nan.html
3,李龙大,男,180 CM,1988-09-11,处女座,韩国,"男双,混双",221/74,0.7491525423728813,http://www.aiyuke.com/sport_player/10050-Lee_Yong_Dae.html
4,克里斯汀娜·佩蒂森,女,178 CM,1986-05-12,金牛座,丹麦,"女双,混双",189/101,0.6517241379310345,http://www.aiyuke.com/sport_player/10226-Christinna_Pedersen.html
5,赵芸蕾,女,173 CM,1986-09-05,处女座,中国,"女双,混双",233/44,0.8411552346570397,http://www.aiyuke.com/sport_player/10036-Zhao_Yunlei.html
6,谌龙,男,187 CM,1989-01-18,摩羯座,中国,男单,219/48,0.8202247191011236,http://www.aiyuke.com/sport_player/10007-CHEN_Long.html
7,高成炫,男,182 CM,1987-05-21,双子座,韩国,"男双,混双",152/99,0.6055776892430279,http://www.aiyuke.com/sport_player/10047-Ko_Sung_Hyun.html
8,傅海峰,男,183 CM,1983-08-23,处女座,中国,男双,192/52,0.7868852459016393,http://www.aiyuke.com/sport_player/10011-FU_Haifeng.html
9,柳延星,男,180 CM,1986-08-19,狮子座,韩国,"男双,混双",160/60,0.7272727272727273,http://www.aiyuke.com/sport_player/10316-Yoo_Yeon_Seong.html
10,马晋,女,167 CM,1988-05-07,金牛座,中国,"女双,混双",134/74,0.6442307692307693,http://www.aiyuke.com/sport_player/10023-Ma_Jin.html
11,王仪涵,女,178 CM,1988-01-18,摩羯座,中国,女单,146/42,0.776595744680851,http://www.aiyuke.com/sport_player/10030-Wang_Yihan.html
12,王适娴,女,168 CM,1990-02-13,水瓶座,中国,女单,123/60,0.6721311475409836,http://www.aiyuke.com/sport_player/10028-Wang_Shixian.html
13,卡米拉·吕特·尤尔,女,183 CM,1983-11-23,射手座,丹麦,"女双,混双",107/75,0.5879120879120879,http://www.aiyuke.com/sport_player/10230-Kamilla_Rytter_Juhl.html
14,李雪芮,女,174 CM,1991-01-24,水瓶座,中国,女单,144/34,0.8089887640449438,http://www.aiyuke.com/sport_player/10021-Li_Xuerui.html
15,松友美佐纪,女,159 CM,1992-02-08,水瓶座,日本,"女双,混双",123/55,0.6910112359550562,http://www.aiyuke.com/sport_player/10154-Misaki_MATSUTOMO.html
16,简·奥·约根森,男,185 CM,1987-12-31,摩羯座,丹麦,男单,118/60,0.6629213483146067,http://www.aiyuke.com/sport_player/10018-Jan_O_JORGENSEN.html
17,卡斯腾·摩根森,男,185 CM,1983-07-24,狮子座,丹麦,男双,123/54,0.6949152542372882,http://www.aiyuke.com/sport_player/10225-Carsten_Mogensen.html
18,玛蒂亚斯·鲍伊,男,185 CM,1980-07-11,巨蟹座,丹麦,男双,124/53,0.7005649717514124,http://www.aiyuke.com/sport_player/10215-Mathias_Boe.html
19,塞娜·内维尔,女,主要项目:,1990-03-17,双鱼座,印度,女单,116/60,0.6590909090909091,http://www.aiyuke.com/sport_player/10262-Saina_Nehwal.html
20,蔡赟,男,181 CM,1980-01-19,摩羯座,中国,男双,136/39,0.7771428571428571,http://www.aiyuke.com/sport_player/10004-CAI_Yun.html
21,亨德拉·塞蒂亚万,男,181 CM,1984-08-25,处女座,印度尼西亚,男双,118/57,0.6742857142857143,http://www.aiyuke.com/sport_player/10138-Hendra_SETIAWAN.html
22,利利亚纳·纳西尔,女,167 CM,1985-09-09,处女座,印度尼西亚,混双,116/56,0.6744186046511628,http://www.aiyuke.com/sport_player/10126-Liliyana_NATSIR.html
23,徐晨,男,188 CM,1984-11-29,射手座,中国,混双,117/53,0.6882352941176471,http://www.aiyuke.com/sport_player/10032-Xu_Chen.html
24,成池铉,女,175 CM,1991-07-29,狮子座,韩国,女单,102/65,0.6107784431137725,http://www.aiyuke.com/sport_player/10053-Sung_Ji_Hyun.html
25,通托维·艾哈迈德,男,179 CM,1987-07-18,巨蟹座,印度尼西亚,混双,115/51,0.6927710843373494,http://www.aiyuke.com/sport_player/10105-Tontowi_AHMAD.html
26,拉特查诺·因达农,女,165 CM,1995-02-05,水瓶座,泰国,女单,112/54,0.6746987951807228,http://www.aiyuke.com/sport_player/10097-Ratchanok_INTANON.html
27,克里斯·爱德考克,男,186 CM,1989-04-27,金牛座,英格兰,"男双,混双",91/74,0.5515151515151515,http://www.aiyuke.com/sport_player/10189-Chris_Adcock.html
28,戴资颖,女,162 CM,1994-06-20,双子座,中国台北,女单,108/53,0.6708074534161491,http://www.aiyuke.com/sport_player/10184-Tai_Tzu_Ying.html
29,柴飚,男,185 CM,1990-10-10,天秤座,中国,"男双,混双",93/68,0.577639751552795,http://www.aiyuke.com/sport_player/10005-CHAI_Biao.html
30,包宜鑫,女,174 CM,1992-09-29,天秤座,中国,"女双,混双",108/52,0.675,http://www.aiyuke.com/sport_player/10003-Bao_Yixin.html
31,安赛龙,男,主要项目:,1994-01-04,摩羯座,丹麦,男单,103/54,0.6560509554140127,http://www.aiyuke.com/sport_player/10213-Viktor_Axelsen.html
32,高桥礼华,女,164 CM,1990-04-19,白羊座,日本,"女双,混双",115/42,0.732484076433121,http://www.aiyuke.com/sport_player/10160-Ayaka_TAKAHASHI.html
33,于洋,女,166 CM,1986-04-07,白羊座,中国,"女双,混双",130/26,0.8333333333333334,http://www.aiyuke.com/sport_player/10033-Yu_Yang.html
34,洪炜,男,190 CM,1989-10-04,天秤座,中国,"男双,混双",92/63,0.5935483870967742,http://www.aiyuke.com/sport_player/10016-HONG_Wei.html
35,陈清晨,女,主要项目:,1997-06-23,巨蟹座,中国,"女双,混双",127/27,0.8246753246753247,http://www.aiyuke.com/sport_player/10398-Chen_Qingchen.html
36,穆罕默德·阿山,男,173 CM,1987-09-07,处女座,印度尼西亚,男双,114/40,0.7402597402597403,http://www.aiyuke.com/sport_player/10106-Mohammad_Ahsan.html
37,金荷娜,女,171 CM,1989-12-27,摩羯座,韩国,"女双,混双",92/61,0.6013071895424836,http://www.aiyuke.com/sport_player/10043-Kim_Ha_Na.html
38,卡罗琳娜·马琳,女,主要项目:,1993-06-15,双子座,西班牙,女单,105/47,0.6907894736842105,http://www.aiyuke.com/sport_player/10323-Carolina_Marin.html
